job_category,n_growth_years,average_real_wage_growth,real_wage_2015,real_wage_2024,decade_real_wage_change
電機工程師,9,2.0444889361404797,38748.6778083351,45466.54711847638,17.337028487450024
醫學及病理檢驗技術員,9,1.931402615225596,33368.94436217474,37564.92703438041,12.574514274901706
環境工程師,9,1.9252758865512207,31966.36344404485,37065.91639871382,15.952871722788942
其他個人服務工作人員,9,1.9050746156393659,25656.864819124185,27759.089784813255,8.19361594064334
物理及化學技術員,9,1.8934430797348265,28312.883435582826,30905.268365075437,9.156202459529705
軟體與應用程式開發人員及分析師,9,1.8700428529800077,39452.08377406389,46232.68612416522,17.186930832178128
美髮、美容及造型設計有關工作人員,9,1.8446613982011553,22803.04632959594,26522.693544397727,16.31206270003529
主管及監督人員,9,1.8196621758952487,45638.88301248149,52871.93915409349,15.8484512857904
機械工程技術員,9,1.7734094658600208,28027.290035963615,32689.83428147415,16.63572981735917
食品及有關產品機械操作人員,9,1.761225799938013,23332.98074888936,27170.108830076675,16.4450831313953
廚師,9,1.7451007101725746,27319.653056907133,30833.848627256983,12.863251092646543
鍛造、工具製造及有關工作人員,9,1.7132861590752937,24321.98011423736,27995.60969577047,15.104155024708188
機械工程師,9,1.6248671160128034,36030.25174529301,41076.55206529805,14.00573150495481
採礦、營建、製造及運輸勞力工,9,1.618451033283825,23676.750581764336,27272.13702696018,15.185303543996387
其他藝術、文化及烹飪有關助理專業人員,9,1.5879800257991576,28207.108102390528,31602.770220133567,12.038320643920454
建築物管理員,9,1.571067711649019,28138.35413581553,27278.629730398217,-3.055347165181299
證券金融交易員及經紀人,9,1.5599542805132918,32922.57245610324,34249.93816472916,4.031780051196598
化學工程技術員,9,1.5491389057635525,28386.926168817434,31995.11501360376,12.710741639754787
未分類其他醫療保健專業人員,9,1.5181919602611937,40410.40829278613,44215.31041305961,9.415648792028453
清潔工及幫工,9,1.4710912442148578,23386.926168817434,26629.359386594115,13.864298345029734
印刷及有關工作人員,9,1.455181864514913,26548.55087793527,29275.599802127137,10.2719313635244
未分類其他事務支援人員,9,1.436285314415638,25279.246879627673,28385.171902052927,12.28646184443214
基層技術工及勞力工,9,1.4044948335221505,23649.248995134338,26771.271333168435,13.201359327209206
廣播及視聽技術員,9,1.3850524451384019,27353.501163528665,30448.92406628741,11.31636818355808
製圖員,9,1.3834118770655188,28136.23862915168,31631.523621073466,12.422715907379157
商業銷售代表,9,1.3797744931029094,29305.056060926596,33054.35320306703,12.794028219381225
技術員及助理專業人員,9,1.338749008550693,28907.340808123547,32536.7919861489,12.555465416609346
專業人員,9,1.3317642533630363,38999.36534800085,43820.183032401685,12.361272142209234
財務專業人員,9,1.3239495551181324,44717.579860376565,47395.80756863715,5.989205401148534
行政專業人員,9,1.3190983260791045,38066.426909244765,40036.7919861489,5.176122995735155
工業及生產工程師,9,1.318535009263142,36386.714618151054,40348.44175117487,10.88783962662998
金屬鑄模、焊接、板金及有關工作人員,9,1.3106428943375499,26139.200338481067,28943.544397724465,10.728499812272219
工業及生產技術員,9,1.3091607947354706,27739.58112968056,30838.486272569873,11.171420103289066
生命科學技術員及有關助理專業人員,9,1.304482685443749,30987.94161201608,33938.28839970319,9.520951164252445
會計、統計、數學及精算助理專業人員,9,1.304441344002875,30414.639306113815,33837.187731882266,11.252964045772739
其他創作及表演藝術人員,9,1.2720300305247116,33319.22995557436,32609.139253029927,-2.1311738101127187
保安服務工作人員,9,1.23903988611433,27663.422889782105,30789.327232253276,11.299774272061502
